bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-olf01_run-01_T1w	0.5995246006389777	1.7200564720041083	0.7531	10566.1267	6.771362666666666	8.307989333333333	7.877098666666667	4.129	0.2870895768296917	0.37104497575302564	0.34186544741728264	0.7031568288803101	0.3054856896400451	0.0	0.0006149498902601125	6.91983762441099	6.836477069685611	6.922818143382407	512	512	192	1.5843548486869066	4.296044931408554	5.019364013127083	9.177692259285788	6.528724824708564	14.86576551813137	14.53698081472878	22.216452101346405	0.46875	0.46875	1.0	221.2218	0.0	3.1589	0.0	21449370.0	0.0	7.0	27.8964	-0.7172	158.3669	295.9432	278.0	2061496.3739362592	46.0	612.0	175.4657	-0.1155	104.2497	632.6752	633.0	2664352.6404857635	387.0	894.0	147.3448	0.01	83.4015	922.6073	946.0	2454823.9891095106	723.0	1055.0	103.076	0.18216820643824158	0.5046941345349196	0.5377102938411561	0.5406396256787224
sub-olf01_run-02_T1w	0.7737917293233082	1.1308165084929132	0.7304	-1.0	4.351200666666666	5.087338666666667	5.293973333333333	2.67229	0.22463063833148184	0.3953371042570382	0.38003225741148006	0.815811276435852	0.4267582297325134	0.0	0.0007795587304643784	6.819011002789639	6.713800887056572	6.760074234149836	512	512	192	1.0207397966529759	3.351239933656636	3.9615704780055343	7.512731703706991	12.196629891779411	11.13238102310614	12.984962387092947	15.625876246393291	0.46875	0.46875	1.0	701.2024	0.0	3.938	0.0	21847199.0	0.0	14.0	38.7819	-1.0828	924.0266	893.3647	722.0	1628272.2461565966	76.0	2461.0	707.3299	6.4028	103.2932	648.5477	659.0	2865666.2311030603	288.0	978.0	196.6436	15.1807	102.5354	902.9438	925.0	2754726.523432706	685.0	1073.0	123.1243	0.24965463834695228	0.5070483459176248	0.5539544452264862	0.323931412368115
sub-olf01fu_run-01_T1w	0.6370713815789474	1.5589186646840107	0.7429	-1.0	6.674296666666667	8.037909333333333	7.911850666666667	4.07313	0.2873950627976968	0.3660313391685399	0.3465735980337634	0.7556943297386169	0.3419943928718566	0.0	0.0017684391793288678	6.942096027266471	6.844667358934532	6.9211089721759285	512	512	192	1.365863219361105	3.9813772792333175	4.5883503344888865	8.417810504872238	5.359477135110224	14.721009248839875	13.972086679741503	21.83577365527441	0.46875	0.46875	1.0	220.4773	0.0	3.1418	0.0	21274311.0	0.0	7.0	27.9927	-0.9801	162.1649	255.1777	229.0	2060333.769097689	32.0	569.0	167.6595	0.3596	104.6015	627.4884	629.0	2624076.841458657	362.0	913.0	157.9855	-0.1177	89.0682	908.6709	933.0	2484584.39249282	697.0	1054.0	110.8364	0.17873795275245857	0.5018329225863228	0.551358603903512	0.537552143343351
sub-olf01fu_run-02_T1w	0.7889700729927007	1.08219858166797	0.7233	-1.0	4.405051555555556	5.116010666666667	5.376064	2.72308	0.2236648747307677	0.3901489341944121	0.3861861910748203	0.8182331323623657	0.42270989716052987	0.0	0.0013958623780031532	6.956943165200096	6.857701754376146	6.914731890257909	512	512	192	1.011179842857514	3.0309217481498956	3.882095090878959	7.604183681629468	11.00508096109428	10.808561658217597	12.369798342182362	15.295752407235204	0.46875	0.46875	1.0	640.5585	0.0	4.008	0.0	21055117.0	0.0	12.0	40.0044	-0.8012	862.0018	796.1179	672.0	1586161.5084926356	63.0	2353.0	664.57	3.9597	108.8322	639.2354	660.0	2766814.51543752	225.0	993.0	217.7555	13.4383	107.3456	913.2391	934.0	2738711.977603152	698.0	1084.0	122.8271	0.26844595389229253	0.5098900663331499	0.5524931888335731	0.3385478975581096
sub-olf02_run-01_T1w	0.9420746606334841	1.0474860701510038	0.7438	-1.0	6.559059333333333	7.8819626666666665	7.847445333333334	3.94777	0.2572211810638298	0.3896979371939823	0.353080881742188	0.778430312871933	0.45708657801151276	0.0	0.001163863991440192	7.913052734280373	7.746437948230988	7.842970781818845	512	512	192	1.7873343801115507	4.231325611781409	3.8143737733470675	5.424461328148243	8.872384557571444	14.414651586831889	14.319505371737291	19.671479970808537	0.46875	0.46875	1.0	227.5297	0.0	3.0895	0.0	21141986.0	0.0	6.0	27.5423	-0.6452	168.5481	369.1284	373.0	1610342.4640844315	58.0	703.0	208.6906	-0.0038	91.4071	619.9263	606.0	2439717.965037455	405.0	897.0	143.2175	2.4107	116.7914	792.0692	827.0	2210475.571157278	524.0	981.0	152.4575	0.19736052384048647	0.5178346404198233	0.48819702266500703	0.4656715761389093
sub-olf02_run-02_T1w	4.363054022988505	0.274305201243806	0.688	-1.0	5.535815333333333	6.565226666666666	6.595349333333333	3.44687	0.20567842781140386	0.4228367444461775	0.37148482774241864	0.9277650117874146	0.5801223039627074	0.0	0.0016059836678345054	8.170640217796612	7.934049346814341	7.985005484911203	512	512	192	1.2150652110888667	3.555967616514573	3.0542224679162704	4.391634576145371	10.99915092179238	8.68132218348364	9.759463732969676	9.597918093633007	0.46875	0.46875	1.0	76.0379	0.0	13.6262	0.0	20139637.0	0.0	83.0	62.1832	-1.216	1217.5852	1238.5468	1044.0	1249408.6241850872	169.0	2973.0	859.2128	12.1299	202.2395	818.8014	824.0	2568552.671055124	433.0	1173.0	231.7231	34.9178	177.3462	900.6586	911.0	2256611.704368324	559.0	1206.0	207.4398	0.22894418091278587	0.5499091770028149	0.5230699302535384	0.2706337094681364
sub-olf02fu_run-01_T1w	0.7028707641196014	1.368464371697742	0.7305	9208.6169	6.820065555555556	8.388544	7.840362666666667	4.23129	0.28563349691238676	0.35985930277573536	0.3545072003118779	0.7827590703964233	0.3361615777015685	0.0	0.0008162609248054656	8.113123076917757	7.9986066950378145	8.090748652078675	512	512	192	1.474571507743673	3.351786541448393	4.157019969331525	7.64470185880251	6.226817103548783	15.904328685314185	15.281646974959306	23.713795136014948	0.46875	0.46875	1.0	178.5483	0.0	3.4741	0.0	24228960.0	0.0	7.0	25.2509	-0.8226	149.7535	263.1501	240.0	1751467.185739958	43.0	565.0	162.7591	1.1851	107.3777	608.7847	613.0	2206610.1038852907	289.0	933.0	182.8875	-0.6012	104.1864	889.3693	914.0	2173791.7126899483	668.0	1049.0	119.5599	0.18406102196193821	0.49746149427073433	0.5255386577721786	0.5623900557820009
sub-olf02fu_run-02_T1w	0.7678085324232081	1.0814143568746424	0.7204	-1.0	4.369465777777777	5.135253333333334	5.330304	2.64284	0.24123343857427076	0.3837376455703427	0.3750289158553865	0.7792052626609802	0.34703598022460924	0.0	0.0017844119923017506	8.01860621608657	7.921890220361673	7.992376542870554	512	512	192	1.101277856609089	2.776247961138427	3.601077544973538	6.925706817173097	13.690424180017565	14.241568470678498	16.210990735973564	20.700979557224628	0.46875	0.46875	1.0	751.2922	0.0	2.8972	0.0	21693213.0	0.0	0.0	29.7171	-0.3706	792.8119	687.9567	621.0	1484359.765475709	52.0	1969.0	563.8902	3.8354	107.2911	620.9308	646.0	2361217.9345842437	166.0	1005.0	232.6881	5.6152	117.6768	910.1242	939.0	2307631.3005185695	672.0	1087.0	135.5818	0.2653651945958012	0.5028725975728934	0.535070281347957	0.3848099519335043
sub-olf03_run-01_T1w	0.5590211180124224	1.8798606593610483	0.7446	11479.1135	6.436236222222223	7.856149333333334	7.580309333333333	3.87225	0.27850778736439036	0.3762620930353851	0.3452301196002246	0.6717942953109741	0.2563928961753845	0.0	0.0012307061276242428	8.317639651285834	8.240922651496028	8.334825197429423	512	512	192	1.7634009056606355	4.603400224668358	5.258709478156667	9.409327304141007	9.767611008486098	19.32021171175395	19.432836157344457	29.21068575179333	0.46875	0.46875	1.0	270.2349	0.0	2.4568	0.0	21028968.0	0.0	5.0	21.329	-0.8893	151.8056	330.2884	318.0	1665632.8124280488	63.0	637.0	180.3333	-0.674	100.2317	633.3499	629.0	2250258.40089929	414.0	879.0	136.6381	-0.4583	79.7731	927.5817	951.0	2064669.790695109	728.0	1057.0	101.0699	0.18264591545445608	0.4990248453353193	0.5109202046611128	0.6838289199633959
sub-olf03_run-02_T1w	0.82728	1.098333392701748	0.7107	-1.0	4.127345777777777	4.813397333333333	4.97152	2.59712	0.21684253821056818	0.40075557867086564	0.38240188311856627	0.8234589099884033	0.38598163127899165	0.0	0.0017195718262513384	8.395134131338015	8.279522348791819	8.311502525021508	512	512	192	1.2630360880903184	3.8565596240134723	4.131089609726626	7.273673117076087	19.236368598136004	15.683298162950885	18.715855094892326	21.22789852359009	0.46875	0.46875	1.0	312.0667	0.0	4.3978	0.0	22713122.0	0.0	14.0	28.9486	-1.217	1001.6668	995.3935	850.0	1282089.9639984397	134.0	2334.0	672.9813	42.6865	103.9721	697.5585	693.0	2369482.9883026285	402.0	1001.0	179.6938	87.9037	98.7115	921.6756	938.0	2260966.0475581163	702.0	1096.0	128.9582	0.24451105941416193	0.5029883861370464	0.5343710465955515	0.3342182381237676
