bids_name	NumberOfShells	bValues	bValuesEstimation	bdiffs_max	bdiffs_mean	bdiffs_median	bdiffs_min	efc_shell01	efc_shell02	fa_degenerate	fa_nans	fber_shell01	fber_shell02	fd_mean	fd_num	fd_perc	ndc	sigma_cc	sigma_pca	sigma_piesno	snr_cc_shell0	snr_cc_shell1_best	snr_cc_shell1_worst	spikes_global	spikes_slice_i	spikes_slice_j	spikes_slice_k	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv
sub-olf01_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.3487	0.1554	0.1453	0.0059	0.3335	0.4147	0.0	0.0	-1.0	1983309.75	40.4055	64	98.46153846153847	0.6707	50.4085	18.7142	3.4919	7.03	7.1	7.1	1377.31	6941.11	6356.05	4265.89	528.7501	0.0	13.2011	0.0	918824.0	0.0	57.0	63.5763	10.6956	133.4342	478.3901	350.0	195288.0	160.0	1250.0	364.5451	75.6152	47.4433	328.559	315.0	42227.0	242.0	431.0	97.0636
sub-olf01fu_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.0404	0.0252	0.0267	0.0014	0.3207	0.4222	0.0	0.0	5235663.0	935148.625	2.6496	64	98.46153846153847	0.6989	1699.0621	718.8532	33.8754	7.76	20.89	20.89	1324.32	6835.05	6315.4	4245.23	139.1469	0.0	439.1898	0.0	918426.0	0.0	2184.0	1337.1834	-0.0437	5248.4119	12402.1112	12389.0	195686.0	0.0	27070.0	7682.8088	8.4537	2008.926	12976.4034	12701.0	41588.0	9371.0	17284.0	3050.5458
sub-olf02_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.3423	0.2447	0.2375	0.0667	0.3088	0.4015	0.0	0.0	-1.0	1998467.375	41.8502	64	98.46153846153847	0.5305	48.9259	17.7796	0.0	6.03	4.34	4.34	1122.19	5330.88	5454.61	3664.93	324.4448	0.0	13.6543	0.0	944841.0	0.0	56.0	67.3279	9.9948	152.708	466.0819	324.0	169271.0	126.0	1151.0	374.3575	20.135	66.7171	315.7275	280.0	40653.0	170.0	609.0	154.7114
sub-olf02fu_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.3957	0.2176	0.2459	0.0031	0.2993	0.3931	0.0	0.0	-1.0	1648039.75	44.6627	64	98.46153846153847	0.8233	41.5129	14.9641	0.6577	6.69	6.26	6.26	1140.71	6168.69	5993.71	3927.85	342.0677	0.0	10.8942	0.0	941081.0	0.0	46.0	52.044	5.4589	136.3994	429.5031	281.0	173031.0	104.0	1270.0	370.8689	39.8076	41.5129	249.6675	239.0	32461.0	169.0	348.0	81.2801
sub-olf03_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.3569	0.2733	0.2998	0.0414	0.3092	0.3923	0.0	0.0	-1.0	3879169.5	10.0762	64	98.46153846153847	0.4239	53.3737	16.564	0.0	5.32	6.1	6.1	1169.61	6251.77	5740.95	3872.45	291.4826	0.0	11.5624	0.0	944762.0	0.0	47.0	58.6267	14.5126	124.5386	393.6311	293.0	169350.0	115.0	1017.0	315.0714	55.3195	56.3389	287.0719	267.0	39582.0	182.0	445.0	128.5704
sub-olf04_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.3621	0.244	0.2612	0.05	0.3251	0.3944	0.0	0.0	-1.0	5069126.0	48.7324	64	98.46153846153847	0.3647	41.5129	18.0985	0.8718	7.93	5.72	5.72	1277.78	5953.05	5387.44	3848.03	413.8286	0.0	13.1241	0.0	938418.0	0.0	52.0	67.7324	20.4334	123.056	418.2565	333.0	175694.0	125.0	970.0	306.0734	56.8861	57.8215	325.8793	305.0	40899.0	226.0	485.0	119.9261
sub-olf04fu_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.3671	0.212	0.2095	0.029	0.3138	0.3941	0.0	0.0	-1.0	3560956.5	35.0338	64	98.46153846153847	0.3064	34.0999	15.4498	0.7509	8.21	6.92	6.92	1268.0	6550.48	5758.63	3903.43	289.13	0.0	10.2073	0.0	937448.0	0.0	41.0	52.3431	12.9185	112.6778	388.7482	290.0	176664.0	98.0	1007.0	304.4566	62.5952	42.9955	281.7844	261.0	36152.0	199.0	396.0	128.232
sub-olf05_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.3756	0.2732	0.2877	0.0606	0.3241	0.4057	0.0	0.0	-1.0	2393660.0	25.153	64	98.46153846153847	0.4658	54.8563	16.4064	3.0792	5.65	4.55	4.55	1327.4	6789.1	6186.37	4076.21	372.7437	0.0	12.6957	0.0	926754.0	0.0	51.0	65.7566	9.0048	137.882	420.8578	310.0	187358.0	121.0	1094.0	331.8958	38.7384	51.8911	287.5408	270.0	42790.0	189.0	427.0	106.0958
sub-olf05fu_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.3642	0.2069	0.2172	0.0172	0.3181	0.4114	0.0	0.0	-1.0	1523252.125	32.2903	64	98.46153846153847	0.5323	65.2345	15.7977	3.0526	4.64	6.3	6.3	1253.07	6797.94	6227.02	4070.58	379.949	0.0	14.4494	0.0	932148.0	0.0	55.0	72.4415	5.9938	148.2602	460.868	316.0	181964.0	138.0	1273.0	375.2561	39.4557	54.8563	286.8425	272.0	34112.0	191.0	403.0	101.3306
sub-olf06_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.3496	0.1918	0.2068	0.0174	0.3404	0.4147	0.0	0.0	-1.0	839004.0	42.7022	64	98.46153846153847	0.4154	167.5341	17.0805	3.441	2.47	1.29	1.29	1064.65	5111.71	5094.03	3824.56	207.9849	0.0	16.2456	0.0	942757.0	0.0	58.0	71.1607	20.2945	90.4387	349.5174	273.0	171355.0	150.0	800.0	251.8954	24.033	71.1649	300.7349	258.0	67373.0	154.0	554.0	152.507
sub-olf07_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.426	0.3174	0.3465	0.059	0.3254	0.414	0.0	0.0	-1.0	1435713.0	8.8726	64	98.46153846153847	0.5713	44.4781	16.7728	3.3139	7.78	7.88	7.88	1354.9	5933.61	5979.57	3910.95	464.9893	0.0	11.2062	0.0	926443.0	0.0	43.0	61.2992	8.9218	133.4342	441.3337	330.0	187669.0	146.0	1138.0	328.8308	55.8126	59.3041	312.5568	293.0	36183.0	210.0	464.0	123.1584
sub-olf07fu_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.3724	0.2273	0.2423	0.0448	0.3104	0.3967	0.0	0.0	-1.0	1660197.375	50.7437	64	98.46153846153847	0.7421	41.5129	12.6088	0.0	6.63	4.7	4.7	1259.23	6486.85	6257.07	4034.89	357.2695	0.0	9.5736	0.0	929333.0	0.0	38.0	49.4016	6.7024	134.9168	404.6185	278.0	184779.0	134.0	1128.0	334.6214	55.0457	44.4781	242.3112	227.0	37914.0	162.0	347.0	92.0954
sub-olf08_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.3782	0.2219	0.2723	0.0071	0.3336	0.3935	0.0	0.0	-1.0	3067605.5	32.2335	64	98.46153846153847	0.361	32.6172	16.1316	3.0305	8.43	8.99	8.99	1109.09	6246.46	5854.07	4159.78	391.1244	0.0	13.194	0.0	925259.0	0.0	58.0	60.4061	10.4513	126.0212	391.2013	293.0	188853.0	134.0	962.0	302.6548	50.6236	62.2693	289.1215	259.0	51156.0	171.0	534.0	146.2513
sub-olf08fu_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.3482	0.1706	0.1641	0.0266	0.3111	0.4041	0.0	0.0	-1.0	2046193.0	55.0469	64	98.46153846153847	0.4436	35.5825	14.582	0.0	6.88	6.6	6.6	1199.76	6594.67	6053.8	4021.75	307.8501	0.0	10.2994	0.0	923955.0	0.0	46.0	43.7932	7.7598	121.5734	371.1149	257.0	190157.0	77.0	1070.0	333.8567	27.6445	45.9607	231.6577	222.0	43205.0	147.0	335.0	79.8803
sub-olf09_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.3536	0.2027	0.196	0.0413	0.3341	0.4168	0.0	0.0	-1.0	1721212.0	35.1761	64	98.46153846153847	0.8958	46.702	14.0916	2.9882	6.15	4.75	4.75	1434.38	7398.9	6805.01	4696.89	340.7718	0.0	12.642	0.0	899347.0	0.0	54.0	53.8856	5.2319	149.7428	460.9035	300.0	214765.0	133.0	1384.0	394.2265	46.4104	42.9955	263.6954	251.0	33913.0	187.0	368.0	79.7141
sub-olf09fu_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.3916	0.2246	0.2041	0.0345	0.3245	0.4161	0.0	0.0	-1.0	985609.6875	65.3182	64	98.46153846153847	0.9408	47.4433	13.6059	0.7598	5.39	3.94	3.94	1442.9	7312.29	6780.26	4635.85	346.5943	0.0	10.0049	0.0	901092.0	0.0	43.0	44.7211	4.3433	174.9471	474.3825	302.0	213020.0	116.0	1416.0	406.4862	35.0686	47.4433	258.0514	243.0	30400.0	177.0	378.0	83.7142
sub-olf10_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.4044	0.2834	0.2918	0.0474	0.3285	0.41	0.0	0.0	-1.0	1060675.5	57.6885	64	98.46153846153847	0.3734	63.7519	18.2762	0.7837	4.24	5.64	5.64	1192.66	5725.04	5843.47	3978.55	325.247	0.0	13.4913	0.0	930295.0	0.0	58.0	53.8646	10.6569	139.3646	431.2821	312.0	183817.0	108.0	1118.0	341.814	52.3401	59.3041	295.7745	277.0	44330.0	178.0	472.0	124.0474
sub-olf10fu_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.3855	0.2128	0.2288	0.0185	0.3182	0.4134	0.0	0.0	-1.0	930702.875	53.8842	64	98.46153846153847	0.6776	48.9259	14.7155	0.0	4.98	4.88	4.88	1230.63	6559.32	6257.07	4044.28	353.6402	0.0	13.7197	0.0	933573.0	0.0	60.0	56.109	6.3658	136.3994	432.5385	284.0	180539.0	122.0	1227.0	364.1477	39.4181	40.0303	257.9201	245.0	33925.0	176.0	357.0	93.0908
sub-olf11_run-01_dwi	1	[0.0, 1500.0]	[1500.0]	0.3407	0.2399	0.263	0.0574	0.3298	0.4196	0.0	0.0	-1.0	790574.125	40.518	64	98.46153846153847	0.4156	40.0303	14.8923	3.4732	6.42	9.46	9.46	1271.66	6930.5	6329.54	4211.43	364.9849	0.0	12.9056	0.0	925097.0	0.0	52.0	55.6896	6.0826	133.4342	407.3351	281.0	189015.0	115.0	1104.0	326.4445	39.3923	40.0303	244.9774	234.0	36360.0	157.0	355.0	91.8318
