bids_name	cjv	cnr	efc	fber	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	icvs_csf	icvs_gm	icvs_wm	inu_med	inu_range	qi_1	qi_2	rpve_csf	rpve_gm	rpve_wm	size_x	size_y	size_z	snr_csf	snr_gm	snr_total	snr_wm	snrd_csf	snrd_gm	snrd_total	snrd_wm	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_csf_k	summary_csf_mad	summary_csf_mean	summary_csf_median	summary_csf_n	summary_csf_p05	summary_csf_p95	summary_csf_stdv	summary_gm_k	summary_gm_mad	summary_gm_mean	summary_gm_median	summary_gm_n	summary_gm_p05	summary_gm_p95	summary_gm_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv	tpm_overlap_csf	tpm_overlap_gm	tpm_overlap_wm	wm2max
sub-olf01_T2w	1.5879303167420813	0.5751658168629002	0.6028	392.0211	5.29796848	5.3021	5.59577088	4.99603456	0.2738836041802077	0.3075562141504883	0.418560181669304	0.9765628278255463	0.4230819284915923	0.0	0.0011753091010179518	7.054231423008391	6.949431582846716	6.994206831973966	360	512	512	1.5495458160848503	3.6132093561554557	4.50304355197439	8.346375483682865	8.410257040073969	7.052851734345823	7.088672152135871	5.802907681987822	0.5	0.48828125	0.48828125	12.8652	0.0	40.7036	0.0	27941912.0	0.0	340.0	115.8333	-1.466	1569.4418	1520.473	1487.0	3605894.5672435556	105.0	3083.0	959.6359	6.6983	241.8894	1266.8202	1247.0	4049221.146504048	776.0	1881.0	345.1225	105.4417	109.0432	1029.9492	1026.0	5510676.295002868	850.0	1220.0	122.9276	0.20633939908229434	0.43908697515216855	0.48828931477482357	0.30777149617886107
sub-olf01fu_T2w	1.6520262548262548	0.5438599691828744	0.5865	633.9442	5.56722272	5.44756	5.905387520000001	5.34872064	0.27113648371721144	0.2947207139191051	0.4341428023636834	0.9515937864780426	0.39699210524559003	0.0	0.0010444928642447035	7.0518990780244	6.967119481732006	7.022891501904781	360	512	512	1.5429741718529033	2.8650100394535483	4.2399044672227015	8.311729190361653	8.70691194232972	7.204941399748847	7.218116579946925	5.742496397762208	0.5	0.48828125	0.48828125	13.6706	0.0	40.5085	0.0	28158638.0	0.0	342.0	116.0251	-1.4975	1653.9224	1584.3552	1542.0	3563890.6084242165	114.0	3200.0	999.3685	3.4809	316.1741	1324.7176	1276.0	3873888.050934046	700.0	2144.0	445.3736	100.2519	111.7007	1021.9095	1017.0	5706489.347529608	843.0	1212.0	122.3572	0.20800077721568716	0.4126466627877005	0.47721005373765185	0.29826376144273864
sub-olf02_T2w	0.8193057750759879	0.9814625048515535	0.5862	302.5719	6.939365333333334	6.97208	7.28526848	6.56074752	0.22632126566939714	0.4803922462014809	0.293286488129122	0.8899974226951599	0.4089036822319031	0.0	0.0010671576589905611	8.162134571583262	8.132379097104408	8.161898866695749	360	512	512	1.604905529769262	5.653094606669641	3.2893920996764483	2.610176162590442	6.8976682821033535	6.510158828052602	8.05589098365504	10.759845840809161	0.5	0.48828125	0.48828125	19.3361	0.0	14.6183	0.0	33686397.0	0.0	135.0	50.719	0.4035	507.1538	562.0518	534.0	2565803.5098443255	66.0	1132.0	332.7298	28.1376	82.637	513.7739	504.0	5446205.45382726	387.0	666.0	89.1547	1.6976	186.9146	841.2203	833.0	3324988.035949162	397.0	1503.0	319.1355	0.2294527130487193	0.4444024675867818	0.38862686278722763	0.4777786372006126
sub-olf02fu_T2w	1.6282712765957448	0.6002303434207361	0.5584	705.5499	6.178152586666667	6.1945	6.4239001600000005	5.9160576	0.26812556846771435	0.3119194531206141	0.41995497841167156	0.9075209498405457	0.3685656607151032	0.0	0.0011332747778633702	8.271006250693011	8.161675582574425	8.214925505821085	360	512	512	2.0374259520434914	3.0168739855209092	3.8940363336560178	6.627809063403652	11.319946722129362	7.127373862081451	8.006343084495004	5.571708669274199	0.5	0.48828125	0.48828125	16.5366	0.0	37.1722	0.0	32926418.0	0.0	339.0	118.7585	-0.4979	1094.098	1929.4736	2052.0	3016568.9628985915	160.0	3446.0	1007.153	4.8591	326.0073	1320.2288	1292.0	3509275.697148763	686.0	2070.0	428.2578	69.2388	133.1652	1017.9846	1010.0	4724738.34155782	797.0	1261.0	152.3882	0.20858156766018326	0.40855554456251825	0.45365524667983326	0.2758591091791399
sub-olf03_T2w	1.3486280155642023	0.6858233223089376	0.6204	109.6061	4.821107573333333	4.67462	5.2099686400000005	4.57873408	0.2642412002899259	0.3462596407904745	0.38949915891959963	0.9527677595615387	0.28954024314880356	0.0	0.003475382066095168	8.526542824322615	8.39670496878779	8.433098648263904	360	512	512	1.445714417196723	3.9122156122108995	3.709967749876807	5.771973220222799	9.699183569205095	8.76010076698437	8.472769461827284	6.959024049292383	0.5	0.48828125	0.48828125	18.0223	0.0	28.2233	0.0	38107203.0	0.0	268.0	93.483	-1.4047	1565.9631	1456.2477	1384.0	2885202.103263015	103.0	3135.0	957.312	15.7691	199.7066	1252.2881	1250.0	3780746.691990638	757.0	1786.0	319.512	50.9995	146.8908	999.5202	993.0	4252871.207446025	746.0	1272.0	172.0382	0.2081542556782939	0.47316070005634603	0.4771788797995019	0.28520410168039845
sub-olf04_T2w	1.4617374358974358	0.6363017792350202	0.6206	141.7753	5.868869920000001	5.82422	6.20466176	5.5777280000000005	0.2758641974410299	0.35435163222381	0.36978417033516015	0.9531489014625549	0.47304548919200895	0.0	0.0011547815651777222	7.901812883018423	7.7626785372001805	7.796870443450617	360	512	512	1.3477609994313215	4.719695071961046	4.173542105913509	6.45317024634816	8.26249331571035	8.673781871870155	8.059297183798066	7.2416163638136934	0.5	0.48828125	0.48828125	19.917	0.0	25.7391	0.0	36718199.0	0.0	247.0	89.2017	-1.3205	1303.6926	1186.791	1125.0	3248045.4756880486	92.0	2729.0	834.7176	19.7119	164.3464	1190.8436	1181.0	4172162.341194182	807.0	1610.0	250.228	83.5773	120.6924	991.1575	986.0	4353866.186984716	765.0	1228.0	152.7931	0.18391883252662283	0.4857002771399936	0.4664195978168739	0.3170342141430941
sub-olf04fu_T2w	1.3727032	0.6501171417433572	0.5826	324.9352	5.633890773333333	5.5612	6.08043008	5.26004224	0.28568840711826105	0.3164878539251396	0.3978237389565993	0.9677510857582092	0.42889463901519775	0.0	0.001410594150846189	7.867136703498024	7.7590532403696715	7.798301164627005	360	512	512	1.2960824188465978	3.6544769913857333	3.9004274404811494	6.750722911211118	8.903227331527779	8.783862296325907	8.238527919815398	7.028494131592513	0.5	0.48828125	0.48828125	16.2986	0.0	31.1583	0.0	31751836.0	0.0	274.0	93.3047	-1.5756	1581.1994	1354.4428	1268.0	3376880.1133914003	84.0	3049.0	978.3327	10.3523	212.7687	1265.7175	1251.0	3740934.225613571	762.0	1865.0	342.3198	85.4532	130.4071	1005.5866	1001.0	4702336.669060038	788.0	1233.0	148.2804	0.1955405982591383	0.4566132082881881	0.49479423098290914	0.29927688766532723
sub-olf05_T2w	1.666975965665236	0.5840252428282199	0.5998	296.7345	5.651265066666667	5.34952	6.19055104	5.41372416	0.28180592378036046	0.3237770399154388	0.3944170363042008	0.9652749300003052	0.5038190364837646	0.0	0.0018549766918764087	7.3922064376679275	7.2697369832518195	7.3086365797401305	360	512	512	1.4322264073251945	3.6025466896085727	3.9153355754681627	6.711233629470721	8.298624757383966	7.2677754641350205	7.16411464135021	5.925943702531645	0.5	0.48828125	0.48828125	13.9989	0.0	37.828	0.0	32539497.0	0.0	341.0	113.76	-1.4628	1636.1377	1498.6849	1441.0	3542778.6881269934	98.0	3255.0	1006.1257	7.818	256.5473	1281.1291	1262.0	4070426.843160636	769.0	1894.0	350.3077	63.6615	131.8581	1035.2662	1029.0	4958491.474231088	808.0	1276.0	153.325	0.1921141923181233	0.44551634692269687	0.45770160687607025	0.2926065974842886
sub-olf05fu_T2w	1.5419174657534245	0.5934549259836642	0.5964	173.9518	5.789501813333334	5.70662	6.2324736000000005	5.429411839999999	0.2704242177806166	0.3111740261734557	0.41840175604592783	0.9539876580238342	0.4912305057048798	0.0	0.0020491544913593383	7.506854134866773	7.409635622009827	7.464960496722005	360	512	512	1.6427647279605595	2.938550854819964	3.8012662463890674	6.82248315638668	9.777512806034391	7.759192197055251	7.865827771977298	6.060778312842257	0.5	0.48828125	0.48828125	13.3862	0.0	38.574	0.0	31835397.0	0.0	332.0	112.6344	-1.3537	1673.2066	1685.307	1681.0	3341296.1929438794	129.0	3338.0	1023.2748	4.0811	312.3513	1369.9748	1334.0	3844790.9640987474	701.0	2188.0	453.9652	60.1494	137.8886	1047.2867	1042.0	5169670.845572834	820.0	1287.0	152.7303	0.21472781242130662	0.4266623284001063	0.4783662121438489	0.29241227363257877
sub-olf06_T2w	5.109215384615385	0.2882596147534151	0.6278	59.917	6.801635999999999	6.6659	7.2041472	6.534860800000001	0.22205881559741225	0.4631823615805279	0.31475882282205986	0.8985669016838074	0.4577963948249817	0.0	0.0013404666997773912	7.740230131426094	7.575371688223591	7.59759254111864	360	512	512	1.2786131031664214	6.126716542334343	3.7819180717190517	3.9404245696563915	6.610545023215027	6.325197756025889	6.62639764916998	6.943450168269021	0.5	0.48828125	0.48828125	10.719	0.0	26.3316	0.0	31047512.0	0.0	201.0	68.8778	-0.2575	772.604	764.383	695.0	2666629.927148926	70.0	1937.0	543.5576	66.1887	99.9272	665.2161	665.0	5562201.814844518	502.0	831.0	108.541	6.1585	232.1718	734.9537	730.0	3779833.259550415	464.0	1043.0	185.2592	0.19480643358896582	0.4841368001792533	0.451146016598243	0.2940789508960259
