trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.00716627	0.00208
-0.0035	0.012	0.0037	-0.00024085543677521747	-5.4105206811824215e-05	8.552113334772214e-05	1.13791966	28.35359001	0.94207291	0.03822408884673818	0.00691819	0.00176
-0.0026	0.0211	-0.0003	-0.00013788101090755203	-5.235987755982989e-05	2.268928027592628e-05	1.13969767	28.397892	0.93211267	0.022377580409572783	0.00681186	0.0015
0.0006	0.0041	0.0038	-0.0001064650843716541	-5.235987755982988e-06	7.504915783575618e-05	1.17295027	29.22644997	0.97932696	0.030844984694978737	0.00738752	0.00204
-0.0013	0.0035	-0.0048	-0.0001012290966156711	-4.18879020478639e-05	6.981317007977319e-05	1.14718342	28.58441353	0.9476771	0.013456194490192344	0.00676274	0.00174
0.0	-0.0147	0.001	-2.268928027592628e-05	2.6179938779914945e-05	9.075712110370512e-05	1.1391623	28.38455391	0.9373113	0.033677580409572784	0.00679642	0.00142
0.0232	-0.028	-0.003	-3.4906585039886588e-06	0.00022165681500327985	0.00020594885173533088	1.15314412	28.73293877	0.95947542	0.05699336143134641	0.00685	0.00137
0.0196	-0.0379	-0.0087	0.0002530727415391778	0.0003682644721708035	0.00032637657012293966	1.15830994	28.86165619	0.9666074	0.045379938779914954	0.00700194	0.00134
0.0385	-0.0288	-0.0067	0.0003089232776029963	0.0004799655442984406	0.00042236967898262774	1.16965008	29.14421654	0.92776624	0.04317723585255719	0.00714225	0.00147
0.0484	-0.0076	-0.021	0.0003211405823669566	0.0005550147021341969	0.0005061454830783556	1.15018964	28.65932083	0.94616308	0.05395211333477221	0.00708252	0.00208
0.0539	0.007	-0.0096	0.0001884955592153876	0.0004974188368183839	0.00041015237421866745	1.1402086	28.41062355	0.934955	0.045811699866353514	0.00733244	0.0019
0.0144	-0.0436	-0.0042	0.00021642082724729686	0.00041015237421866745	0.0004572762640225143	1.20588958	30.04719734	1.01247179	0.10361578102177361	0.00710034	0.00204
0.0167	-0.002	-0.0061	0.0003316125578789226	0.00035081117965086024	0.0004415683007545654	1.18292487	29.47498703	0.96749245	0.05531204442336909	0.00694197	0.0016
-0.0039	0.0128	0.0011	0.0004310963252425994	0.0002443460952792061	0.00030194196059501896	1.20387948	29.99711227	1.00166016	0.05987875959474386	0.0074876	0.00208
0.0032	-0.0065	-0.0115	0.00046949356878647465	0.00040317105721069014	0.00041015237421866745	1.25533283	31.27917862	1.05909485	0.05427163095495039	0.00700504	0.00155
-0.0023	0.0629	-0.0067	0.0003787364476827695	0.00041713369122664475	0.0003089232776029963	1.15637696	28.81349182	0.9642301	0.08999744258676656	0.0070079	0.00166
0.0082	0.0122	-0.0074	0.00019547687622336493	0.0002722713633111154	0.00048171087355043494	1.14348614	28.49228859	0.94458158	0.08694547476611862	0.00670409	0.00144
0.0104	0.0276	0.0044	0.0001291543646475804	0.0005340707511102648	0.0004415683007545654	1.16776228	29.09717941	0.92962149	0.047813223608540165	0.00677079	0.00128
0.0188	0.0115	-0.0063	0.0002897246558310587	0.0004485496177625427	0.0005340707511102648	1.14292121	28.47821236	0.92845986	0.05212969374434499	0.00681794	0.00155
0.0353	-0.0384	-0.0063	0.0002897246558310587	0.00039793506945470715	0.0005201081170943102	1.1617074	28.94631004	0.96042508	0.0696288591161895	0.00706983	0.00166
0.0504	-0.0005	-0.0044	0.0002478367537831948	0.0005480333851262194	0.0006073745796940267	1.21295071	30.22314072	1.00850095	0.06886263401595463	0.00714803	0.00123
0.0399	-0.0324	-0.0022	0.0003159045946109737	0.0005113814708343385	0.00062482787221397	1.11550546	27.79509354	0.94777184	0.05070865238198016	0.00699896	0.00131
-0.0269	0.0113	-0.0051	0.00028274333882308137	0.0005585053606381855	0.0006178465552059926	1.2460053	31.04676247	0.9866266	0.11776332312998584	0.00701237	0.00198
0.0348	-0.0263	-0.0007	0.0002617993877991494	0.0004625122517784973	0.0005532693728822024	1.23894644	30.87087822	0.98118608	0.11277571211037052	0.00725311	0.00134
-0.0326	-0.0429	-0.008	3.316125578789226e-05	0.0005654866776461627	0.0005951572749300663	1.1614939	28.94098854	0.97761585	0.1099750229963393	0.00711358	0.00238
0.032	-0.0101	0.0102	6.632251157578452e-05	0.0006056292504420323	0.0005340707511102648	1.17522645	29.28316498	0.99608489	0.12231951762017812	0.00688761	0.00126
-0.0376	-0.017	0.0084	6.981317007977319e-05	0.00039968039870670147	0.0005323254218582705	1.16826189	29.10962677	0.99048364	0.08885924197456568	0.00736862	0.00275
0.0247	-0.0147	0.0143	-2.96705972839036e-05	0.0005270894341022875	0.00039968039870670147	1.23219621	30.7026825	0.99749186	0.0884768912955416	0.00673705	0.00147
-0.0372	-0.0138	0.01	2.4434609527920616e-05	0.0005410520681182421	0.0005288347633542819	1.21580172	30.29417992	1.01330687	0.07696111027376795	0.00770932	0.00281
