trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0127836	0.00037
-0.0198	-0.0535	-0.0103	0.0004572762640225143	-8.726646259971648e-06	-0.0002129301687433082	0.92554414	28.87416267	0.81289714	0.11754665395128971	0.0123799	0.00049
-0.0328	-0.0449	-0.0154	0.0010367255756846318	-5.585053606381854e-05	-0.00038048177693476387	0.87859172	27.4093895	0.7912079	0.066406240482871	0.0115256	0.00037
-0.0462	-0.0394	-0.004	0.0009023352232810684	0.00017278759594743863	-0.0005462880558742252	0.88303775	27.54809189	0.81284449	0.056741738167714086	0.0131823	0.0004
-0.0748	-0.0197	0.0212	0.0007470009198535729	-0.00023387411976724014	-0.0008290313946973065	0.82239807	25.65631866	0.79267941	0.11573696789826277	0.0154348	0.00058
-0.0707	-0.0467	-0.0124	0.0006824237375297829	-0.0003682644721708035	-0.0009651670763528643	0.80919695	25.24448395	0.82016681	0.08145516081914558	0.0150326	0.00061
0.0879	0.0371	-0.0212	-0.0007330382858376184	-0.0006510078109938849	-0.0009651670763528643	1.03297698	32.22573853	1.01536789	0.3361102681095241	0.0143602	0.00107
0.1349	0.0541	-0.0436	-0.0011466813185602744	-0.0010402162341886204	0.0009913470151327792	0.85622972	26.71176338	0.85190947	0.22436827737015172	0.014567	0.0018
0.0419	0.0825	-0.0347	4.537856055185256e-05	-0.0011501719770642632	0.0012601277199399059	0.92790955	28.94795609	0.89761078	0.2088398163397448	0.0184613	0.00117
0.0199	0.083	-0.0412	-0.0010053096491487337	-0.0006544984694978735	0.00043458698374658803	0.92243707	28.77723122	0.88688075	0.14759512267301467	0.0157768	0.00129
0.0463	0.0725	-0.09	-0.0006283185307179585	-0.0004921828490624009	0.0004433136300065597	0.89311767	27.86255455	0.82363178	0.11310166925631096	0.0186973	0.00245
0.0416	-0.0606	-0.125	0.0004415683007545654	0.0003577924966588376	0.0003438298626428829	1.03736806	32.36272812	0.99244692	0.273767297227872	0.0194353	0.00231
0.0005	-0.0267	-0.0052	0.00041015237421866745	-0.0001884955592153876	0.0004904375198104066	0.96751493	30.18352318	0.9245951	0.23101558197888236	0.0143209	0.00063
0.0969	0.0478	-0.0287	0.0007138396640656808	0.0001256637061435917	0.0010088003076527223	1.12856174	35.20769501	1.08316505	0.2512104671524154	0.0245526	0.00322
0.0455	-0.0005	-0.002	0.0003159045946109737	-0.0005864306286700947	0.0013037609512397642	1.0281235	32.07432556	0.99253178	0.19664950239277176	0.0157104	0.00075
-0.0051	0.0207	-0.0162	0.0002495820830351891	8.028514559173915e-05	-0.00017278759594743863	0.95424366	29.76950073	0.93527793	0.1964793416512411	0.0198469	0.00168
0.038	-0.0067	-0.0464	0.0007592182246175333	-4.0142572795869576e-05	0.00012217304763960306	0.92502278	28.8578968	0.91172777	0.14695122517784973	0.0163316	0.00091
0.0517	-0.0353	-0.064	0.0013159782560037243	0.00035604716740684323	0.0007731808586334879	0.7644996	23.85006332	0.78163194	0.14009787912913943	0.0178003	0.00131
