trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0128313	0.00048
-0.0594	-0.026	-0.0802	0.0001291543646475804	-0.00010471975511965978	-0.0011536626355682519	0.93877316	32.50630951	0.85991155	0.2349768377667746	0.0126863	0.00048
-0.129	-0.0401	-0.1585	0.0015481070465189703	-0.0005358160803622592	-0.001324704902263696	0.86810136	30.05920219	0.83360447	0.26305456369047164	0.0155612	0.00173
-0.1343	-0.1369	-0.0559	0.0023073252711365037	-0.00034557519189487725	-0.001762782544514273	1.07682323	37.28648376	0.96519694	0.2740768377667746	0.0164312	0.001
-0.0322	-0.0335	0.0987	5.759586531581287e-05	-0.0004520402762665313	-0.0009512044423369096	0.98754489	34.19509888	0.91804445	0.5184886296184854	0.0153822	0.00073
-0.0727	0.1792	0.0862	-0.0015899949485668342	-0.0005532693728822024	-0.001579522973054868	1.22352934	42.3663826	1.14902562	0.38455692206081377	0.0139427	0.00142
-0.1105	-0.0409	-0.1143	-0.00010471975511965978	-0.0009162978572970229	-0.00042935099599060504	1.21233559	41.97878265	1.07105531	0.6083237827463129	0.0166031	0.00155
-0.0532	-0.0559	-0.1322	0.0007173303225696694	-0.0011187560505283654	-0.000890117918517108	0.92994344	32.20056915	0.91313163	0.1644637596723587	0.010731	0.0004
-0.1099	-0.0754	0.106	-6.283185307179586e-05	-0.00022165681500327985	-0.0016999506914424768	1.07572079	37.24831009	0.93002974	0.438754709204596	0.0128542	0.00038
-0.0455	0.0457	0.0948	-0.0006789330790257941	-0.00024609142453120044	-0.0007382742735936014	0.90701896	31.40677643	0.86958523	0.27681061266653967	0.0142475	0.00063
-0.0024	0.0041	-0.1591	-5.585053606381854e-05	-0.00039095375244672985	4.0142572795869576e-05	1.33075011	46.07905197	1.1931765	0.4159180858633488	0.0155166	0.00077
-0.1297	-0.0313	-0.1905	0.0021991148575128553	-0.0009424777960769379	-0.0011641346110802177	0.95371759	33.02378082	0.90973775	0.3946383310541485	0.0181137	0.00259
-0.1263	-0.0195	0.1707	-0.0013596114873035826	-0.000757472895365539	-0.0018552849948699724	1.42565322	49.36520004	1.23338278	0.5981440814658794	0.0149341	0.00065
0.0271	-0.0047	0.0261	-0.0021938788697568722	-0.0003874630939427412	-0.0006265732014659643	1.0462985	36.22952271	0.94237052	0.4344494488640048	0.0138454	0.00056
0.0206	-0.0275	-0.2642	0.001858775653373961	-0.0004328416544945937	0.00032637657012293966	1.14628494	39.69168854	1.04725292	0.5721491427635793	0.0191426	0.0024
0.0246	-0.0724	-0.0794	0.0015428710587629874	-0.00022689280275926284	-0.0004136430327226561	1.14208043	39.54610443	1.02631074	0.29679365245959494	0.0143464	0.00048
-0.0002	-0.0584	0.0487	0.001090830782496456	-0.000291469985083053	0.0002670353755551324	1.00712872	34.87321472	0.84521428	0.2267647933434055	0.0136948	0.00071
