trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0168623	0.00159
-0.0752	0.0608	0.0798	-0.004581489286485115	-0.0020525072003453313	-0.0009232791743050004	1.24293137	36.77514267	1.16838165	0.5936637830567724	0.0281855	0.01543
-0.3349	0.1137	-0.0347	-0.004747295565424576	-0.0029269171555944902	-0.006017895260876448	1.44505572	42.75548172	1.32422207	0.7338416160380034	0.0384717	0.0379
-0.2308	-0.0507	0.5005	-0.005958554066308641	-0.002509783464367846	-0.00731292956585624	2.04356837	60.46393204	1.73360759	0.9498713248545247	0.0453767	0.04815
0.1124	-0.0795	0.0321	0.0005480333851262194	-0.0036983526849759846	0.00102799892942466	2.10309625	62.22520828	1.69083812	1.642204258366195	0.028205	0.01194
0.2022	0.0091	-0.5928	0.006476916854150957	-0.0019058995431778078	0.0034609879067047556	1.96602082	58.16949844	1.58267351	1.3110162794051503	0.0540158	0.05728
0.2437	-0.0101	-0.1056	0.0031956978604016175	-1.7453292519943294e-06	0.00318871654339364	1.72547126	51.05225372	1.44497102	0.8207822285493133	0.0288199	0.01079
0.0754	0.0372	-0.0661	0.0026965336943312393	0.0011798425743481666	0.0010821041362364843	1.05064285	31.08581924	1.01197335	0.44446822384138474	0.0245119	0.00798
0.0214	0.0154	-0.1045	0.0022951079663725434	0.0018465583486100008	-0.0009389871375729493	1.00319886	29.68207359	0.97630243	0.2686616388014982	0.0224115	0.00787
-0.0518	0.012	-0.1222	0.0026110125609835172	0.002036799237077382	-0.0009250245035569946	0.84043759	24.86638641	0.86774856	0.12030540585471548	0.0210478	0.00408
-0.0021	0.0014	-0.0356	0.0011013027580084218	0.0016807520696705393	-3.839724354387525e-05	0.95076942	28.13082123	0.98042947	0.2845192115197529	0.018755	0.00209
0.0106	0.0291	-0.0124	0.0003787364476827695	0.0017994344588061536	0.0007906341511534313	0.91916937	27.19585609	0.97299046	0.14711400470792865	0.0152115	0.00096
