trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.00772405	0.00058
0.1058	-0.0654	0.013	1.7453292519943296e-05	0.0008447393579652555	0.0005270894341022875	0.95097041	32.65271759	0.95145857	0.25366410422937435	0.00839025	0.00052
0.1827	0.0155	0.0996	-0.0020734511513692635	-0.0004799655442984406	0.0005323254218582705	0.93221396	32.0086937	0.87584678	0.41544226669544426	0.0120744	0.00155
0.2553	0.0051	-0.0124	-0.0007400196028455958	0.000874409955249159	0.001839577031602023	0.8381238	28.77799416	0.84715502	0.39475293289075103	0.0126308	0.00227
0.1261	0.044	-0.0101	0.0006859143960337716	0.0006771877497737998	0.0016598081186466073	0.87393981	30.00778008	0.85662682	0.2605462558655072	0.00849068	0.0005
-0.1332	0.0197	0.1363	-0.0027454029133870805	-0.0003874630939427412	-0.0012950343049797925	1.36115515	46.73690796	1.10914646	0.8025405288381896	0.0143932	0.00113
-0.0398	0.0413	-0.0229	-0.0006213372137099814	-0.00041538836197465044	-0.00034033920413889426	1.09729171	37.67683792	0.87320506	0.42953430342749527	0.00847578	0.00041
0.1402	-0.015	-0.0691	0.0004729842272904633	-0.000312413936106985	0.001595230936322817	0.9732365	33.41725159	0.89535276	0.439143300366491	0.00842023	0.00033
-0.0038	-0.0307	-0.0166	0.0008395033702092724	0.0004677482395344803	9.773843811168246e-05	0.97236896	33.38746262	0.84710315	0.34440869083857045	0.00714093	0.00029
-0.032	-0.0489	0.0829	-0.00046425758103049166	-0.00016231562043547262	-0.0006544984694978735	0.83126467	28.54247665	0.82977353	0.28020308594096366	0.00831479	0.00017
-0.0346	-0.0356	-0.1139	-0.0003612831551628262	-0.0009337511498169664	-0.0005096361415823442	1.10909832	38.08222961	0.92907152	0.2636636141582344	0.00872743	0.00033
0.0061	0.0372	-0.1963	0.0011641346110802177	-0.00016406094968746698	0.0001832595714594046	1.07157934	36.79397202	0.96540997	0.3453001839707146	0.0116504	0.00085
-0.0578	-0.0085	0.1588	-0.0006387905062299246	0.0003665191429188092	-0.00048171087355043494	1.43829846	49.38571548	1.14671584	0.6146237827463129	0.00966102	0.00029
-0.0202	0.0239	0.0928	-0.0009756390518648303	-0.0006946410422937432	-0.0003211405823669566	1.02528405	35.20436478	0.84543663	0.21392895110154683	0.00715488	0.00017
0.047	0.0515	-0.1091	1.2217304763960308e-05	-0.0002670353755551324	0.0009721483933608416	1.14195192	39.21030045	0.92762804	0.43213754995476	0.00778872	0.00049
-0.0375	-0.024	0.0087	0.0008587019919812101	0.0005393067388662478	5.93411945678072e-05	1.14441311	39.29480743	0.91297671	0.4060817000215832	0.00693172	0.00031
-0.1383	-0.0612	0.1597	-0.0008813912722571365	0.0001186823891356144	-0.0020245819323134223	1.04826558	35.99346542	0.91133951	0.5012320370425105	0.0128608	0.0013
-0.0782	0.054	-0.0192	-0.0003787364476827695	-0.0004188790204786391	-7.853981633974481e-05	1.21541834	41.73285675	0.99482576	0.5035129175081149	0.00739378	0.00039
0.0396	0.0658	-0.1602	0.0013997540600994523	0.0004328416544945937	0.0008307767239493009	1.05266118	36.14439392	0.92578159	0.4475763861522251	0.00915021	0.00031
0.0383	-0.0784	0.0571	0.00015184364492350666	0.000645771823237902	-0.0007941248096574199	1.22423768	42.03567886	0.97346891	0.5170871058762987	0.00769299	0.00016
0.0115	0.0544	0.1277	-0.0011798425743481666	0.00013962634015954637	-0.0009826203688728075	0.92699373	31.82945061	0.88059924	0.33151636307827087	0.00825179	0.00031
0.1022	0.0661	-0.1174	-0.0002373647782712288	-0.00015184364492350666	0.000752236907609556	1.15987039	39.82555008	0.96965815	0.4959402528821177	0.00877267	0.00035
0.077	-0.1145	-0.1234	0.0010960667702524388	9.250245035569947e-05	0.0006998770300497262	0.92157644	31.64344025	0.90036837	0.29330687606813516	0.00824922	0.00021
-0.1461	-0.0711	0.047	-0.0001605702911834783	0.000614355896702004	-0.0008098327729253688	1.17179549	40.23501587	0.92692922	0.6013100155378658	0.0082444	0.00037
-0.159	0.0265	0.1144	-0.00020420352248333657	0.0008674286382411819	-2.094395102393195e-05	1.00193381	34.40260696	0.81578297	0.2321797397370237	0.0113769	0.00058
-0.0423	0.0669	0.1089	-0.0005183627878423159	0.00030368728984701333	-0.0005619960191421741	1.07597983	36.94506836	0.8703673	0.23354763409356952	0.00951701	0.00037
-0.1338	0.0741	-0.3057	0.0011379546723003027	-0.0017121679962064373	-0.0015289084247470327	2.03086424	69.73217773	1.39292164	0.7452542575900463	0.0240909	0.01557
-0.1177	0.0761	-0.0609	3.4906585039886588e-06	-0.0006963863715457374	-0.00017104226669544429	1.57811081	54.18634033	1.12089278	0.43830558982543016	0.0105124	0.00085
0.0649	-0.0508	0.3587	-0.0008429940287132613	0.0011013027580084218	0.0011274826967883368	1.82115901	62.53169632	1.40584251	0.9262349390127597	0.0245895	0.00608
0.0312	-0.017	0.1305	-0.0006318091892219474	-0.0005864306286700947	-0.0009843656981248017	1.27247441	43.69194794	1.00787978	0.4962383310541485	0.0107387	0.00058
0.0079	0.1243	-0.094	-0.00042411500823462205	-0.0012077678423800758	-8.901179185171081e-05	1.320611	45.34477615	1.0545753	0.4753192650485199	0.00936276	0.00039
0.146	-0.0399	-0.1204	0.0007888888219014368	-6.283185307179586e-05	0.001637118838370681	1.0825386	37.17027283	0.92809925	0.5329035224833365	0.0102981	0.00049
0.0791	-0.0419	-0.0347	0.0007330382858376184	0.0005009094953223725	0.000710349005561692	0.98469144	33.81056976	0.84068963	0.2319180858633488	0.00749224	0.00043
-0.0329	-0.0374	0.0333	0.000148352986419518	-0.0003193952531149623	6.632251157578452e-05	1.01916385	34.99422073	0.87645824	0.28695082709206715	0.00668275	0.00023
0.0568	-0.0615	-0.1286	0.00032637657012293966	0.0002565634000431664	5.061454830783555e-05	1.11623394	38.32723999	0.92005727	0.3141845100064749	0.00761181	0.00016
0.0718	0.0173	-0.0376	0.0011065387457644049	0.0007504915783575615	0.0011239920382843482	0.8913061	30.60407257	0.80816766	0.30217339219661865	0.00711262	0.00027
-0.1665	0.0615	0.2319	-0.0016441001553786586	-0.00020594885173533088	-0.0011519173063162574	1.39436793	47.87730789	1.12354439	0.8511494337918282	0.0148699	0.00097
-0.0482	0.019	-0.0313	-0.0005183627878423159	-0.0003630284844148205	-5.061454830783555e-05	1.33073306	45.69232941	1.00899026	0.5432059879112128	0.00827396	0.00056
0.1352	-0.0954	-0.1591	0.001759291886010284	0.0008429940287132613	0.0015079644737231008	1.28257108	44.03862762	1.03928617	0.677712810450581	0.0116603	0.00072
-0.0615	-0.1035	0.0092	0.0003577924966588376	0.00013788101090755203	-0.0007347836150896127	1.23192275	42.29955673	0.96587638	0.5905680247984936	0.00974786	0.0006
-0.2349	0.0253	0.0371	-0.0001937315469713706	-0.0005235987755982988	-0.0019250981649497454	1.04388583	35.84308243	0.93934054	0.4502659189998096	0.0109481	0.00084
-0.0587	0.1225	-0.0909	1.9198621771937625e-05	0.00023387411976724014	-0.0005445427266222308	1.03096187	35.39932251	0.93233932	0.5189479251218181	0.00936157	0.0006
0.2249	-0.0411	-0.0429	8.901179185171081e-05	0.0005305800926062762	0.0015690509975429022	1.29732478	44.54521561	1.1556735	0.6192056433541969	0.0115927	0.00074
0.0014	-0.0139	0.1668	-0.000736528944341607	0.0009075712110370514	-0.0005742133239061344	1.1942066	41.00452805	0.98479141	0.6276898088036564	0.0123399	0.00074
-0.0723	0.0026	0.1482	-0.0009093165402890458	-1.7453292519943296e-05	-7.155849933176751e-05	0.8752898	30.05413246	0.82189101	0.18882334620394	0.011179	0.00037
0.0618	-0.0522	-0.1783	-0.0003438298626428829	-0.0007766715171374765	6.283185307179586e-05	1.57831919	54.1934967	1.09304601	0.5883547627333631	0.0118611	0.00093
0.1574	-0.0653	-0.1572	-0.00021642082724729686	-0.0005846852994181004	0.0012426744274199627	0.87597096	30.07752228	0.78790851	0.2047618913731564	0.0115367	0.0008
0.1035	0.0244	0.1024	1.0471975511965975e-05	0.0007347836150896127	0.0008988445647770796	1.24285352	42.67487717	0.9529812	0.49770957899549295	0.00774211	0.00033
-0.0176	-0.0423	0.1058	6.632251157578452e-05	0.0011327186845443199	-0.0004415683007545654	0.88112777	30.25458717	0.83387462	0.28090992355250854	0.00861967	0.00023
-0.0091	-0.0514	-0.0446	-0.000577703982410123	0.0001361356816555577	-0.0006440264939859076	1.00288653	34.43532181	0.82207004	0.26015338450530057	0.00698107	0.00019
0.0207	-0.0111	-0.0581	-0.000710349005561692	-6.45771823237902e-05	-0.000148352986419518	0.65749031	22.57572365	0.70930973	0.1250515697348653	0.00652134	0.00017
0.0138	0.0676	0.0384	-0.0004433136300065597	-2.268928027592628e-05	-7.67944870877505e-05	0.81271261	27.90546989	0.78712286	0.20112408884673816	0.00652766	0.00014
0.0272	-0.0355	-0.0185	0.0005096361415823442	0.0007609635538695277	0.0002565634000431664	0.89728391	30.80932808	0.82633417	0.27689802464326374	0.00624812	0.00021
-0.0829	-0.0373	0.1656	-0.00016929693744344995	0.001075122819228507	-0.000947713783832921	1.12265813	38.54782486	0.92974562	0.405868476413043	0.0129703	0.00087
-0.194	0.0113	0.23	-0.0011850785621041497	6.981317007977319e-05	-0.001759291886010284	1.01887715	34.98437881	0.85266813	0.3657334687993398	0.0171464	0.00151
-0.1306	0.0438	-0.0169	-0.0008447393579652555	-0.001155407964820246	-0.0006056292504420323	1.31716478	45.22644424	0.99013632	0.4787611487303583	0.00894588	0.00031
-0.0188	0.0233	-0.1786	0.0011606439525762293	-0.0007731808586334879	0.0005166174585903216	1.08595741	37.28765869	0.89711647	0.4694928562880298	0.0109237	0.00056
-0.0277	0.0053	-0.0935	0.0018744836166419098	0.0007679448708775049	-4.363323129985824e-05	0.95642632	32.84005356	0.82828516	0.2527608041733426	0.00925535	0.00037
-0.0746	-0.0205	0.1378	0.0005410520681182421	0.0011850785621041497	0.00014660765716752367	1.10069203	37.79359055	0.92345159	0.40104030641088473	0.0110508	0.00031
-0.1038	0.0218	0.129	-0.0006946410422937432	-0.00035430183815484887	-0.0011431906600562858	0.78118038	26.82277298	0.77914391	0.28354359139473967	0.00999075	0.00041
0.0651	0.0392	-0.1608	0.0010157816246606998	9.773843811168246e-05	0.00047647488579445195	1.28871119	44.2494545	1.02448561	0.6652064244535856	0.00908053	0.00029
0.0465	0.0318	-0.0589	0.0009075712110370514	0.0005096361415823442	0.00022689280275926284	0.92430288	31.73705673	0.78304816	0.16638451000647494	0.00705743	0.00039
0.0379	-0.0548	0.0728	-0.00038397243543875244	-3.316125578789226e-05	5.585053606381854e-05	1.05798864	36.3273201	0.9058002	0.32716916552707426	0.0072552	0.00033
0.1163	0.0024	-0.0267	-0.000614355896702004	-5.93411945678072e-05	0.0009145525280450286	0.89701146	30.79997253	0.7966486	0.29086326960121883	0.00762004	0.00021
0.106	0.058	-0.0653	8.552113334772214e-05	0.0006667157742618339	0.0014660765716752368	1.00242221	34.41937637	0.8878639	0.2033729021254788	0.00843883	0.00043
-0.1326	-0.027	0.0331	0.00024260076602721178	0.0005550147021341969	-0.000736528944341607	1.33010817	45.67087173	1.05019623	0.5455693110411985	0.00867295	0.00039
-0.1187	-0.0438	0.1593	-0.000710349005561692	0.0004014257279586958	-0.0008988445647770796	1.09278309	37.52202988	0.84932947	0.22034271830999388	0.0123894	0.00064
0.0677	-0.0033	-0.0229	-0.00017278759594743863	-0.0	0.0006841690667817771	1.41430604	48.56190872	1.03699463	0.5352000384565904	0.00754499	0.00025
0.1104	-0.0008	-0.142	0.0007120943348136865	0.00041015237421866745	0.0009616764178488756	1.04819834	35.99115753	0.88400173	0.2429270828023445	0.00867128	0.00039
-0.0141	-0.1206	-0.0063	0.0008517206749732328	0.0005881759579220891	-0.00017627825445142725	1.13624454	39.014328	0.95012672	0.4527802298081636	0.00722617	0.00027
-0.0833	-0.0746	0.0704	-0.00028274333882308137	-0.0003159045946109737	-0.0008028514559173916	0.97612673	33.51649094	0.84531193	0.32515588838976706	0.00731558	0.00025
-0.0712	0.109	-0.0966	-0.00018151424220741024	-0.00019547687622336493	-0.000874409955249159	1.1631242	39.93727493	1.00100216	0.3773607657167524	0.00840533	0.00031
0.0442	0.0805	-0.073	0.0009302604913129776	0.0007225663103256524	0.0004328416544945937	0.922934	31.69005394	0.84892336	0.3343534764906579	0.0071128	0.00033
0.0761	-0.0731	0.0696	0.0001675516081914556	0.0008447393579652555	0.0006579891280018621	1.06485188	36.56297684	0.89358329	0.38360147021341967	0.00828028	0.00021
0.0645	-0.0394	0.1289	-0.0011100294042683937	-0.00014660765716752367	8.901179185171081e-05	0.97455066	33.46237564	0.85370509	0.24649526818713896	0.00921118	0.00054
0.0567	0.0463	-0.1238	-0.00035604716740684323	-7.155849933176751e-05	0.0012636183784438947	1.30040753	44.65106201	1.01544123	0.4463818990644745	0.0095852	0.00052
0.068	-0.0344	-0.2065	0.0011606439525762293	-0.0001064650843716541	0.0021467549799530253	1.07955635	37.06787109	0.88901839	0.2964367153266045	0.0125983	0.0007
-0.0585	0.0004	0.1835	-0.0009913470151327792	8.203047484373349e-05	-0.00045553093477052	1.66712213	57.24265289	1.19435864	0.7984386220823971	0.0122515	0.00064
-0.1506	0.0326	0.2837	-0.002012364627549462	-0.000317649923862968	-0.002368411794956305	1.15254331	39.57396698	0.94624173	0.39117894356545846	0.020692	0.00439
-0.1413	0.019	-0.0482	-0.00012740903539558605	-0.0005323254218582705	-0.0010384709049366262	1.58355987	54.3734436	1.15540143	0.5262785990084429	0.00912017	0.00047
-0.1215	0.1591	0.0843	0.0008569566627292158	6.806784082777885e-05	0.0012723450247038664	1.68837774	57.9724884	1.26303884	0.4871787445225672	0.0219087	0.01373
-0.1557	-0.0278	-0.3512	0.0022951079663725434	-0.0017243853009703976	8.552113334772214e-05	2.3396945	80.33623505	1.5898257	0.8774714168398823	0.0274438	0.02476
-0.1031	-0.0154	-0.2154	0.00024260076602721178	-0.0006056292504420323	-0.0015515977050229591	1.57970119	54.24094772	1.15418045	0.44121910446221896	0.0194103	0.00742
-0.1753	0.0717	0.5368	-0.003598868917612307	-0.0004939281783143952	-0.001462585913171248	2.59711695	89.17514801	1.97601836	1.1136091273809434	0.0420956	0.03948
0.0341	-0.0795	-0.1049	0.000710349005561692	-0.0017994344588061536	0.001022762941668677	2.38699794	81.96045685	1.7096615	1.407303652925284	0.0135675	0.00249
